Job Title,Salary Estimate,Location,min_salary,max_salary,avg_salary,,,,,,,,,
Senior Data Scientist,$80K-$129K  ,"Southfield, MI",80,129,104.5,,,,,,,,,
Financial Data Analyst,$41K-$72K  ,"Matawan, NJ",41,72,56.5,,,,,,,,,
Senior Data Analyst,$39K-$71K  ,"Phoenix, AZ",39,71,55,,,,,,,,,
Research Scientist,$38K-$85K  ,"Omaha, NE",38,85,61.5,,,,,,,,,
Data Scientist,$121K-$193K  ,"San Francisco, CA",121,193,157,,,,,,,,,
Data Engineer,$54K-$102K  ,"Lyndhurst, NJ",54,102,78,,,,,,,,,
Data Scientist,$83K-$144K  ,"Cambridge, MA",83,144,113.5,,,,,,,,,
Data Scientist,$120K-$160K  ,"New York, NY",120,160,140,,,,,,,,,
Data Scientist,$102K-$163K  ,"San Francisco, CA",102,163,132.5,,,,,,,,,
Data Engineer,$76K-$140K  ,"San Francisco, CA",76,140,108,,,,,,,,,
Ag Data Scientist,$60K-$101K  ,"Atlanta, IN",60,101,80.5,,,,,,,,,
Data Scientist,$82K-$133K  ,"Rockville, MD",82,133,107.5,,,,,,,,,
Data Engineer,$65K-$125K  ,"Minneapolis, MN",65,125,95,,,,,,,,,
Data Scientist ,$91K-$148K  ,"Los Angeles, CA",91,148,119.5,,,,,,,,,
Senior Data Engineer,$95K-$173K  ,"Charlotte, NC",95,173,134,,,,,,,,,
Data Scientist,$77K-$124K  ,"Cambridge, MA",77,124,100.5,,,,,,,,,
Data Scientist,$80K-$135K  ,"Cincinnati, OH",80,135,107.5,,,,,,,,,
Data Engineer,$85K-$159K  ,"Washington, DC",85,159,122,,,,,,,,,
Data Engineer,$80K-$105K ,"Chicago, IL",80,105,92.5,,,,,,,,,
Data Analyst,$43K-$81K  ,"Baltimore, MD",43,81,62,,,,,,,,,
Project Scientist,$29K-$50K  ,"Alabaster, AL",29,50,39.5,,,,,,,,,
Data Scientist,$82K-$133K  ,"Santa Fe Springs, Los Angeles, CA",82,133,107.5,,,,,,,,,
Data Analytics Manager,$26K-$55K  ,"Kansas City, MO",26,55,40.5,,,,,,,,,
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,$61K-$118K  ,"Ashburn, VA",61,118,89.5,,,,,,,,,
Data Scientist,$60K-$102K  ,"Chicago, IL",60,102,81,,,,,,,,,
Senior Data Scientist,$112K-$182K  ,"Herndon, VA",112,182,147,,,,,,,,,
Data Scientist,$64K-$106K  ,"Fort Worth, TX",64,106,85,,,,,,,,,
Associate Scientist,$51K-$112K  ,"Valencia, CA",51,112,81.5,,,,,,,,,
Scientist ,$113K-$223K  ,"Novato, CA",113,223,168,,,,,,,,,
Machine Learning Engineer,$72K-$129K  ,"Aurora, CO",72,129,100.5,,,,,,,,,
Data Scientist/ML Engineer,$71K-$123K  ,"New York, NY",71,123,97,,,,,,,,,
Data Scientist,$64K-$106K  ,"Chantilly, VA",64,106,85,,,,,,,,,
Customer Data Scientist,$118K-$189K  ,"Mountain View, CA",118,189,153.5,,,,,,,,,
Data Engineer,$120K-$145K,"Tampa, FL",120,145,132.5,,,,,,,,,
Data Engineer,$80K-$120K  ,"Chicago, IL",80,120,100,,,,,,,,,
Sr. Data Scientist,$80K-$130K  ,"Denver, CO",80,130,105,,,,,,,,,
Data Engineer ,$59K-$115K  ,"Riverton, UT",59,115,87,,,,,,,,,
Data Analyst - Asset Management,$71K-$136K  ,"San Francisco, CA",71,136,103.5,,,,,,,,,
Senior Research Scientist - Embedded System Development for DevOps,$81K-$167K  ,"Pittsburgh, PA",81,167,124,,,,,,,,,
Data Scientist - Bioinformatics,$49K-$85K  ,"Richland, WA",49,85,67,,,,,,,,,
Data Engineer,$60K-$114K  ,"Washington, DC",60,114,87,,,,,,,,,
Customer Data Scientist/Sales Engineer,$71K-$204K  ,"Chicago, IL",71,204,137.5,,,,,,,,,
Lead Data Scientist,$75K-$125K  ,"Cincinnati, OH",75,125,100,,,,,,,,,
MongoDB Data Engineer II,$77K-$136K  ,"Chattanooga, TN",77,136,106.5,,,,,,,,,
Senior Data Scientist Statistics,$74K-$123K  ,"Richland, WA",74,123,98.5,,,,,,,,,
Senior Data Analyst,$44K-$78K  ,"Clearwater, FL",44,78,61,,,,,,,,,
Senior Spark Engineer (Data Science),$65K-$148K  ,"Indianapolis, IN",65,148,106.5,,,,,,,,,
Data Engineer,$59K-$110K  ,"Cambridge, MA",59,110,84.5,,,,,,,,,
BI & Platform Analytics Manager,$85K-$134K  ,"Ewing, NJ",85,134,109.5,,,,,,,,,
Lead Data Scientist,$124K-$204K  ,"Boston, MA",124,204,164,,,,,,,,,
"Sr. Data Scientist - Analytics, Personalized Healthcare ",$131K-$207K  ,"South San Francisco, CA",131,207,169,,,,,,,,,
Senior Data Scientist,$110K-$174K  ,"Cupertino, CA",110,174,142,,,,,,,,,
Pricipal Scientist Molecular and cellular biologist,$52K-$101K  ,"Boston, MA",52,101,76.5,,,,,,,,,
Data Scientist ,$81K-$133K  ,"Frederick, MD",81,133,107,,,,,,,,,
Staff Data Scientist,$132K-$211K  ,"San Jose, CA",132,211,171.5,,,,,,,,,
Senior Data Scientist / Machine Learning,$73K-$119K  ,"Dallas, TX",73,119,96,,,,,,,,,
Data Scientist - Health Data Analytics,$110K-$175K  ,"San Francisco, CA",110,175,142.5,,,,,,,,,
Data Engineer 5 - Contract ,$74K-$140K  ,"Riverton, UT",74,140,107,,,,,,,,,
Senior Scientist - Neuroscience,$100K-$190K  ,"Marlborough, MA",100,190,145,,,,,,,,,
Senior Data Analyst,$43K-$80K  ,"Herndon, VA",43,80,61.5,,,,,,,,,
Medical Lab Scientist,$17-$24 ,"West Reading, PA",17,24,20.5,,,,,,,,,
"Risk and Analytics IT, Data Scientist",$91K-$149K  ,"Madison, WI",91,149,120,,,,,,,,,
"Scientist, Analytical Development",$42K-$82K  ,"Cambridge, MA",42,82,62,,,,,,,,,
Senior Data Scientist,$116K-$185K  ,"San Francisco, CA",116,185,150.5,,,,,,,,,
Analytics Manager,$59K-$116K  ,"Dearborn, MI",59,116,87.5,,,,,,,,,
Data Engineer,$48K-$95K  ,"Winter Park, FL",48,95,71.5,,,,,,,,,
Digital Marketing & ECommerce Data Analyst,$31K-$72K  ,"San Rafael, CA",31,72,51.5,,,,,,,,,
Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K  ,"San Diego, CA",105,198,151.5,,,,,,,,,
Senior Data Analyst,$55K-$100K  ,"Hamilton, NJ",55,100,77.5,,,,,,,,,
Principal Scientist - Immunologist,$98K-$182K  ,"Boston, MA",98,182,140,,,,,,,,,
Senior Data Scientist,$73K-$124K  ,"Woodbridge, NJ",73,124,98.5,,,,,,,,,
